line,OE,ME
353,þéoden maérne             ymb þínne síð,"from that famed sovereign             about your quest,"
354,ond þé þá andsware             aédre gecýðan,and to you the answer             promptly make known
355,ðe mé se góda             ágifan þenceð.',which to me the virtuous one             sees fit to give.'
356,Hwearf þá hrædlíce             þaér Hróðgár sæt,"He turned then quickly             to where Hrothgar sat,"
357,eald ond anhár             mid his eorla gedriht·,"old and very grey,             amid his company of earls;"
358,éode ellenróf             þæt hé for eaxlum gestód,he strode grandly             so that he stood by the shoulders
359,Deniga fréän:             cúþe hé duguðe þéaw·,of the Danes' lord:             he knew the custom of veteran-warriors;
360,Wulfgár maðelode             tó his winedrihtne:,Wulfgar made this speech             to his friend and lord:
361,'Hér syndon geferede             feorran cumene,"'Here have ventured,             come from far away,"
362,ofer geofenes begang             Géata léode·,"over the expanse of the sea,             men of the Geats;"
363,þone yldestan             óretmecgas,the eldest one             of these elite warriors
364,Béowulf nemnað·             hý bénan synt,is called Beowulf;             they are asking
365,"þæt híe, þéoden min,             wið þé móton","that they, my lord,             with you might"
366,wordum wrixlan·             nó ðú him wearne getéoh,exchange words;             give them not refusal
367,"ðínra gegncwida,             glædman Hróðgár·","from your answers,             gracious Hrothgar;"
368,hý on wíggetáwum             wyrðe þinceað,they by their war-gear             seem worthy
369,eorla geæhtlan·             húru se aldor déah,"of the esteem of nobles;             indeed, the prince is powerful,"
370,sé þaém heaðorincum             hider wísade.',who the warriors             led hither.'
371,Hróðgár maþelode             helm Scyldinga:,"Hrothgar spoke,              the Helm of the Scyldings :"
372,'Ic hine cúðe             cnihtwesende·,'I knew him             when he was a youth;
373,wæs his ealdfæder             Ecgþéo háten,"his old father was             called Ecgtheow,"
374,ðaém tó hám forgeaf             Hréþel Géata,to whom gave        into his home      Hrethel of the Geats
375,ángan dohtor·             is his eaforan nú,his only daughter;             now his heir is
376,heard hér cumen·             sóhte holdne wine.,"come here bravely,             seeking a steadfast friend."
377,Ðonne sægdon þæt             saélíþende,"Further, it has been said by             sea-farers,"
378,þá ðe gifsceattas             Géata fyredon,they who our gifts of coins             ferried for the Geats
379,þyder tó þance·             þæt hé þrítiges,"thither in thanks,             that he thirty   "
380,manna mægencræft             on his mundgripe,"men's strength             in the grip of his hand,"
381,heaþoróf hæbbe·             hine hálig god,"renowned in war, has;             him holy God,"
382,for árstafum             ús onsende,"in benevolence,             has sent to us,"
383,tó West-Denum·             þæs ic wén hæbbe·,"to the West-Danes,             of this I have hope,"
