1 Hwæt! Wé Gárdena     in géardagum
2486 þaér Ongenþéow     Eofores níosað·
2487 gúðhelm tóglád·     gomela Scylfing
2488 hréas heaþoblác·     hond gemunde
2489 faéhðo genóge·     feorhsweng ne oftéah.
2490 Ic him þá máðmas     þé hé mé sealde
2491 geald æt gúðe     swá mé gifeðe wæs
2492 léohtan sweorde·     hé mé lond forgeaf
2493 eard éðelwyn·     næs him aénig þearf
2494 þæt hé tó Gifðum     oððe tó Gár-Denum
2495 oððe in Swíoríce     sécean þurfe
2496 wyrsan wígfrecan,     weorðe gecýpan:
2497 symle ic him on féðan     beforan wolde
2498 ána on orde     ond swá tó aldre sceall
2499 sæcce fremman     þenden þis sweord þolað
2500 þæt mec aér ond síð     oft gelaéste
2501 syððan ic for dugeðum     Dæghrefne wearð
2502 tó handbonan,     Húga cempan·
2503 nalles hé ðá frætwe     Fréscyninge
2504 bréostweorðunge     bringan móste
2505 ac in cempan gecrong     cumbles hyrde
2506 æþeling on elne·     ne wæs ecg bona
2507 ac him hildegráp     heortan wylmas
2508 bánhús gebræc.     Nú sceall billes ecg
2509 hond ond heard sweord     ymb hord wígan.'
2510 Béowulf maðelode     béotwordum spræc
2511 níehstan síðe:     'Ic genéðde fela
2512 gúða on geogoðe·     gýt ic wylle
2513 fród folces weard     faéhðe sécan,
2514 maérðum fremman     gif mec se mánsceaða
2515 of eorðsele     út geséceð.'
2516 Gegrétte ðá     gumena gehwylcne
2517 hwate helmberend     hindeman síðe
2518 swaése gesíðas:     'Nolde ic sweord beran
2519 waépen tó wyrme     gif ic wiste hú
2520 wið ðám áglaécean     elles meahte
2521 gylpe wiðgrípan     swá ic gió wið Grendle dyde
2522 ac ic ðaér heaðufýres     hátes wéne
2523 réðes ond hattres·     forðon ic mé on hafu
2524 bord ond byrnan·     nelle ic beorges weard
2525 oferfléön fótes trem     ac unc @ sceal
2526 weorðan æt wealle     swá unc wyrd getéoð
2527 metod manna gehwæs·     ic eom on móde from
2528 þæt ic wið þone gúðflogan     gylp ofersitte.
2529 Gebíde gé on beorge     byrnum werede
2530 secgas on searwum     hwæðer sél mæge
2531 æfter wælraése     wunde gedýgan
2532 uncer twéga·     nis þæt éower síð
2533 né gemet mannes     nefne mín ánes·
2534 Wát he wíð áglaécean     eofoðo daéle·
2535 eorlscype efne·     'Ic mid elne sceall
2536 gold gegangan     oððe gúð nimeð
2537 feorhbealu frécne     fréan éowerne.'
2538 Árás ðá bí ronde     róf óretta
2539 heard under helme·     hiorosercean bær
2540 under stáncleofu     strengo getrúwode
2541 ánes mannes·     ne bið swylc earges síð.
2542 Geseah ðá be wealle     sé ðe worna fela
2543 gumcystum gód     gúða gedígde
2544 hildehlemma     þonne hnitan féðan·
2545 stódan stánbogan,     stréam út þonan
2546 brecan of beorge·     wæs þaére burnan wælm
2547 heaðofýrum hát·     ne meahte horde néah
2548 unbyrnende     aénige hwíle
2549 déop gedýgan     for dracan lége.
2550 Lét ðá of bréostum     ðá hé gebolgen wæs
2551 Weder-Géata léod     word út faran·
2552 stearcheort styrmde·     stefn in becóm
2553 heaðotorht hlynnan     under hárne stán·
2554 hete wæs onhréred·     hordweard oncníow
2555 mannes reorde·     næs ðaér mára fyrst
2556 fréode tó friclan·     from aérest cwóm
2557 oruð áglaécean     út of stáne
2558 hát hildeswát·     hrúse dynede·
2559 biorn under beorge     bordrand onswáf
2560 wið ðám gryregieste     Géata dryhten·
2561 ðá wæs hringbogan     heorte gefýsed
2562 sæcce tó séceanne·     sweord aér gebraéd
2563 gód gúðcyning     gomele láfe
2564 ecgum ungléaw·     aéghwæðrum wæs
2565 bealohycgendra     bróga fram óðrum·
2566 stíðmód gestód     wið stéapne rond
2567 winia bealdor     ðá se wyrm gebéah
2568 snúde tósomne     hé on searwum bád·
2569 gewát ðá byrnende     gebogen scríðan,
2570 tó gescipe scyndan·     scyld wél gebearg
2571 lífe ond líce     laéssan hwíle
2572 maérum þéodne     þonne his myne sóhte·
2573 ðaér hé þý fyrste     forman dógore
2574 wealdan móste     swá him wyrd ne gescráf
2575 hréð æt hilde:     hond úp ábraéd
2576 Géata dryhten·     gryrefáhne slóh
2577 incgeláfe     þæt sío ecg gewác
2578 brún on báne·     bát unswíðor
2579 þonne his ðíodcyning     þearfe hæfde
2580 bysigum gebaéded.     Þá wæs beorges weard
2581 æfter heaðuswenge     on hréoum móde·
2582 wearp wælfýre·     wíde sprungon
2583 hildeléoman.     Hréðsigora ne gealp
2584 goldwine Géata·     gúðbill geswác
2585 nacod æt níðe     swá hyt nó sceolde
2586 íren aérgód·     ne wæs þæt éðe síð
2587 þæt se maéra     maga Ecgðéowes
2588 grundwong þone     ofgyfan wolde·
2589 sceolde @ willan     wíc eardian
2590 elles hwergen·     swá sceal aéghwylc mon
2591 álaétan laéndagas.     Næs ðá long tó ðon
2592 þæt ðá áglaécean     hý eft gemétton:
2593 hyrte hyne hordweard·     hreðer aéðme wéoll
2594 níwan stefne·     nearo ðrówode
2595 fýre befongen     sé ðe aér folce wéold.
2596 Nealles him on héape     handgesteallan
2597 æðelinga bearn     ymbe gestódon
2598 hildecystum     ac hý on holt bugon·
2599 ealdre burgan·     hiora in ánum wéoll
2600 sefa wið sorgum·     sibb' aéfre ne mæg
2601 wiht onwendan     þám ðe wél þenceð.
2602 Wígláf wæs háten     Wéoxstánes sunu
2603 léoflíc lindwiga     léod Scylfinga
2604 maég Ælfheres·     geseah his mondryhten
2605 under heregríman     hát þrówian·
2606 gemunde ðá ðá áre     þé hé him aér forgeaf
2607 wícstede weligne     Waégmundinga,
2608 folcrihta gehwylc     swá his fæder áhte·
2609 ne mihte ðá forhabban·     hond rond geféng
2610 geolwe linde·     gomelswyrd getéah·
2611 þæt wæs mid eldum     Éanmundes láf
2612 suna Óhtere·     þám æt sæcce wearð
2613 wræcca wineléasum     Wéohstánes @ bana
2614 méces ecgum     ond his mágum ætbær
2615 brúnfágne helm     hringde byrnan
2616 ealdsweord etonisc·     þæt him Onela forgeaf
2617 his gædelinges     gúðgewaédu
2618 fyrdsearo fúslíc·     nó ymbe ðá faéhðe spræc
2619 þéah ðe hé his bróðor bearn     ábredwade·
2620 hé @ frætwe gehéold     fela misséra
2621 bill ond byrnan     oð_ðæt his byre mihte
2622 eorlscipe efnan     swá his aérfæder·
2623 geaf him ðá mid Géatum     gúðgewaéda
2624 aéghwæs unrím     þá hé of ealdre gewát
2625 fród on forðweg.     Þá wæs forma síð
2626 geongan cempan     þæt hé gúðe raés
2627 mid his fréodryhtne     fremman sceolde·
2628 ne gemealt him se módsefa     né his mægenes láf
2629 gewác æt wíge·     þa se wyrm onfand
2630 syððan híe tógædre     gegán hæfdon.
2631 Wígláf maðelode·     wordrihta fela
2632 sægde gesíðum     —him wæs sefa geómor—:
2633 'Ic ðæt maél geman     þaér wé medu þégun
2634 þonne wé gehéton     ússum hláforde
2635 in bíorsele     ðé ús ðás béagas geaf
2636 þæt wé him ðá gúðgetawa     gyldan woldon
2637 gif him þyslicu     þearf gelumpe,
2638 helmas ond heard sweord.     Ðé hé úsic on herge gecéas
2639 tó ðyssum síðfate     sylfes willum·
2640 onmunde úsic maérða     ond mé þás máðmas geaf
2641 þé hé úsic gárwígend     góde tealde
2642 hwate helmberend     þéah ðe hláford ús
2643 þis ellenweorc     áná áðóhte
2644 tó gefremmanne,     folces hyrde,
2645 forðán hé manna maést     maérða gefremede
2646 daéda dollícra.     Nú is sé dæg cumen
2647 þæt úre mandryhten     mægenes behófað
2648 gódra gúðrinca·     wutun gongan tó
2649 helpan hildfruman     þenden hyt sÿ
2650 glédegesa grim.     God wát on mec
2651 þæt mé is micle léofre     þæt mínne líchaman
2652 mid mínne goldgyfan     gléd fæðmie·
2653 ne þynceð mé gerysne     þæt wé rondas beren
2654 eft tó earde     nemne we aéror mægen
2655 fáne gefyllan,     feorh ealgian
2656 Wedra ðéodnes·     ic wát geare
2657 þæt naéron ealdgewyrht     þæt hé ána scyle
2658 Géata duguðe     gnorn þrówian,
2659 gesígan æt sæcce·     úrum sceal sweord ond helm
2660 byrne ond byrduscrúd     bám gemaéne.'
2661 Wód þá þurh þone wælréc·     wígheafolan bær
2662 fréan on fultum·     féa worda cwæð:
2663 'Léofa Bíowulf,     laést eall tela
2664 swá ðú on geoguðféore     geára gecwaéde
2665 þæt ðú ne álaéte     be ðé lifigendum
2666 dóm gedréosan·     scealt nú daédum róf,
2667 æðeling anhýdig,     ealle mægene
2668 feorh ealgian·     ic ðé fullaéstu.'
2669 Æfter ðám wordum     wyrm yrre cwóm
2670 atol inwitgæst     óðre síðe
2671 fýrwylmum fáh     fíonda níosian
2672 láðra manna·     líg_ýðum for·
2673 born bord wið rond·     byrne ne meahte
2674 geongum gárwigan     géoce gefremman
2675 ac se maga geonga     under his maéges scyld
2676 elne geéode     þá his ágen wæs
2677 glédum forgrunden.     Þá gén gúðcyning
2678 miht gemunde·     mægenstrengo slóh
2679 hildebille     þæt hyt on heafolan stód
2680 níþe genýded·     Nægling forbærst·
2681 geswác æt sæcce     sweord Bíowulfes
2682 gomol ond graégmaél·     him þæt gifeðe ne wæs
2683 þæt him írenna     ecge mihton
2684 helpan æt hilde:     wæs sío hond tó strong
2685 sé ðe méca gehwane     míne gefraége
2686 swenge ofersóhte     þonne hé tó sæcce bær
2687 waépen wundum heard     næs him wihte ðé sél.
2688 Þá wæs þéodsceaða     þriddan síðe
2689 frécne fýrdraca     faéhða gemyndig·
2690 raésde on ðone rófan     þá him rúm ágeald
2691 hát ond heaðogrim     heals ealne ymbeféng
2692 biteran bánum·     hé geblódegod wearð
2693 sáwuldríore·     swát ýðum wéoll.
2694 Ðá ic æt þearfe gefrægn     þéodcyninges
2695 andlongne eorl     ellen cýðan
2696 cræft ond cénðu     swá him gecynde wæs·
2697 ne hédde hé þæs heafolan     ac sío hand gebarn
2698 módiges mannes     þaér hé his mægenes healp
2699 þæt he þone níðgæst     nioðor hwéne slóh,
2700 secg on searwum     þæt ðæt sweord gedéaf
2701 fáh ond faéted     þæt ðæt fýr ongon
2702 sweðrian syððan.     Þá gén sylf cyning
2703 gewéold his gewitte·     wællseaxe gebraéd
2704 biter ond beaduscearp     þæt hé on byrnan wæg·
2705 forwrát Wedra helm     wyrm on middan.
2706 Féond gefyldan     —ferh ellen wræc—
2707 ond hí hyne þá bégen     ábroten hæfdon,
2708 sibæðelingas·     swylc sceolde secg wesan
2709 þegn æt ðearfe.     Þæt ðám þéodne wæs
2710 síðas sigehwíle     sylfes daédum,
2711 worlde geweorces.     Ðá sío wund ongon
2712 þé him se eorðdraca     aér geworhte
2713 swelan ond swellan·     hé þæt sóna onfand·
2714 þæt him on bréostum     bealoníð wéoll
2715 attor on innan.     Ðá se æðeling gíong
2716 þæt hé bí wealle     wíshycgende
2717 gesæt on sesse·     seah on enta geweorc·
2718 hú ðá stánbogan     stapulum fæste
2719 éce eorðreced     innan healden.
2720 Hyne þá mid handa     heorodréorigne
2721 þéoden maérne     þegn ungemete till
2722 winedryhten his     wætere gelafede
2723 hilde sædne     ond his helm onspéon·
2724 Bíowulf maþelode·     hé ofer benne spræc,
2725 wunde wælbléate     —wisse hé gearwe
2726 þæt hé dæghwíla     gedrogen hæfde
2727 eorðan wynne·     ðá wæs eall sceacen
2728 dógorgerímes,     déað ungemete néah—:
2729 'Nú ic suna mínum     syllan wolde
2730 gúðgewaédu     þaér mé gifeðe swá
2731 aénig yrfeweard     æfter wurde
2732 líce gelenge·     ic ðás léode héold
2733 fíftig wintra·     næs sé folccyning
2734 ymbesittendra     aénig ðára
2735 þé mec gúðwinum     grétan dorste,
2736 egesan ðéön·     ic on earde bád
2737 maélgesceafta·     héold mín tela·
2738 ne sóhte searoníðas     né mé swór fela
2739 áða on unriht·     ic ðæs ealles mæg
2740 feorhbennum séoc     geféan habban
2741 forðám mé wítan ne ðearf     Waldend fíra
2742 morðorbealo mága     þonne mín sceaceð
2743 líf of líce.     Nú ðú lungre geong
2744 hord scéawian     under hárne stán,
2745 Wígláf léofa,     nú se wyrm ligeð,
2746 swefeð sáre wund     since beréafod
2747 bío nú on ofoste     þæt ic aérwelan
2748 goldaéht ongite·     gearo scéawige
2749 swegle searogimmas     þæt ic ðý séft mæge
2750 æfter máððumwelan     mín álaétan
2751 líf ond léodscipe     þone ic longe héold.'
2752 Ðá ic snúde gefrægn     sunu Wíhstánes
2753 æfter wordcwydum     wundum dryhtne
2754 hýran heaðosíocum,     hringnet beran
2755 brogdne beadusercean     under beorges hróf.
2756 Geseah ðá sigehréðig     þá hé bí sesse géong
2757 magoþegnmódig     máððumsigla fealo,
2758 gold glitinian     grunde getenge
2759 wundur on wealle     ond þæs wyrmes denn
2760 ealdes úhtflogan,     orcas stondan
2761 fyrnmanna fatu     feormendléase
2762 hyrstum behrorene·     þaér wæs helm monig
2763 eald ond ómig,     earmbéaga fela
2764 searwum gesaéled     —sinc éaðe mæg
2765 gold on grunde     gumcynnes gehwone
2766 oferhígian     hýde sé ðe wylle—
2767 swylce hé siomian geseah     segn eallgylden
2768 héah ofer horde,     hondwundra maést
2769 gelocen leoðocræftum·     of ðám léoman stód
2770 þæt hé þone grundwong     ongitan meahte,
2771 wraéte giondwlítan·     næs ðæs wyrmes þaér
2772 onsýn aénig     ac hyne ecg fornam.
2773 Ðá ic on hlaéwe gefrægn     hord réafian
2774 eald enta geweorc     ánne mannan,
2775 him on bearm hlódon     bunan ond discas
2776 sylfes dóme     segn éac genóm
2777 béacna beorhtost·     bill aér gescód
2778 —ecg wæs íren—     ealdhláfordes
2779 þám ðára máðma     mundbora wæs
2780 longe hwíle·     lígegesan wæg
2781 hátne for horde     hioroweallende
2782 middelnihtum     oð_þæt hé morðre swealt.
2783 Ár wæs on ofoste     eftsíðes georn
2784 frætwum gefyrðred·     hyne fyrwet bræc
2785 hwæðer collenferð     cwicne gemétte
2786 in ðám wongstede     Wedra þéoden
2787 ellensíocne     þaér hé hine aér forlét·
2788 hé ðá mid þám máðmum     maérne þíoden
2789 dryhten sínne     dríorigne fand
2790 ealdres æt ende·     hé hine eft ongon
2791 wæteres weorpan     oð_þæt wordes ord
2792 bréosthord þurhbræc     @ @
2793 gomel on giogoðe     gold scéawode:
2794 'Ic ðára frætwa     fréan ealles ðanc
2795 wuldurcyninge     wordum secge
2796 écum dryhtne     þé ic hér on starie
2797 þæs ðe ic móste     mínum léodum
2798 aér swyltdæge     swylc gestrýnan
2799 nú ic on máðma hord     minne bebohte
2800 fróde feorhlege     fremmað géna
2801 léoda þearfe·     ne mæg ic hér leng wesan·
2802 hátað heaðomaére     hlaéw gewyrcean
2803 beorhtne æfter baéle     æt brimes nósan·
2804 sé scel tó gemyndum     mínum léodum
2805 héah hlífian     on hrones_næsse
2806 þæt hit saélíðend     syððan hátan
2807 Bíowulfes Biorh     ðá ðe brentingas
2808 ofer flóda genipu     feorran drífað.'
2809 Dyde him of healse     hring gyldenne
2810 þíoden þrísthýdig·     þegne gesealde
2811 geongum gárwigan     goldfáhne helm
2812 béah ond byrnan·     hét hyne brúcan well:
2813 'Þú eart endeláf     ússes cynnes
2814 Waégmundinga·     ealle wyrd forswéop
2815 míne mágas     tó metodsceafte
2816 eorlas on elne·     ic him æfter sceal.'
2817 Þæt wæs þám gomelan     gingæste word
2818 bréostgehygdum     aér hé baél cure
2819 háte heaðowylmas·     him of hwæðre gewát
2820 sáwol sécean     sóðfæstra dóm.
2821 Ðá wæs gegongen     guman unfródum
2822 earfoðlíce     þæt hé on eorðan geseah
2823 þone léofestan     lífes æt ende
2824 bléate gebaéran·     bona swylce læg
2825 egeslíc eorðdraca     ealdre beréafod
2826 bealwe gebaéded·     béahhordum leng
2827 wyrm wóhbogen     wealdan ne móste
2828 ac him írenna     ecga fornámon,
2829 hearde heaðoscearde     homera láfe
2830 þæt se wídfloga     wundum stille
2831 hréas on hrúsan     hordærne néah·
2832 nalles æfter lyfte     lácende hwearf
2833 middelnihtum·     máðmaéhta wlonc
2834 ansýn ýwde     ac hé eorðan geféoll
2835 for ðæs hildfruman     hondgeweorce.
2836 Húru þæt on lande     lýt manna ðáh
2837 mægenágendra     míne gefraége
2838 þéah ðe hé daéda gehwæs     dyrstig waére·
2839 þæt hé wið attorsceaðan     oreðe geraésde
2840 oððe hringsele     hondum styrede
2841 gif hé wæccende     weard onfunde
2842 búon on beorge·     Bíowulfe wearð
2843 dryhtmáðma daél     déaðe forgolden·
2844 hæfde aéghwæðre     ende geféred
2845 laénan lífes.     Næs ðá lang tó ðon
2846 þæt ðá hildlatan     holt ofgéfan
2847 týdre tréowlogan     týne ætsomne
2848 ðá ne dorston aér     dareðum lácan
2849 on hyra mandryhtnes     miclan þearfe
2850 ac hý scamiende     scyldas baéran
2851 gúðgewaédu     þaér se gomela læg·
2852 wlitan on Wíláf·     hé gewérgad sæt
2853 féðecempa     fréan eaxlum néah·
2854 wehte hyne wætre·     him wiht ne spéow·
2855 ne meahte hé on eorðan,     ðéah hé úðe wél
2856 on ðám frumgáre     feorh gehealdan
2857 né ðæs wealdendes     wiht oncirran:
2858 wolde dóm godes     daédum raédan
2859 gumena gehwylcum     swá hé nú gén dëð.
2860 Þá wæs æt ðám geongan     grim andswaru
2861 éðbegéte     þám ðe aér his elne forléas·
2862 Wígláf maðelode     Wéohstánes sunu
2863 secg sárigferð     seah on unléofe:
2864 'Þæt, lá, mæg secgan     sé ðe wyle sóð specan·
2865 þæt se mondryhten     sé éow ðá máðmas geaf
2866 éoredgeatwe     þé gé þaér on standað—
2867 þonne hé on ealubence     oft gesealde
2868 healsittendum     helm ond byrnan,
2869 þéoden his þegnum     swylce hé þrýdlícost
2870 ówer feor oððe néah     findan meahte—
2871 þæt hé génunga     gúðgewaédu
2872 wráðe forwurpe     ðá hyne wíg beget·
2873 nealles folccyning     fyrdgesteallum
2874 gylpan þorfte·     hwæðre him god úðe
2875 sigora waldend     þæt hé hyne sylfne gewræc
2876 ána mid ecge     þá him wæs elnes þearf.
2877 Ic him lífwraðe     lýtle meahte
2878 ætgifan æt gúðe     ond ongan swá þéah
2879 ofer mín gemet     maéges helpan·
2880 symle wæs þý saémra     þonne ic sweorde drep
2881 ferhðgeníðlan     fýr unswíðor
2882 wéoll of gewitte·     fergendra tó lýt
2883 þrong ymbe þéoden     þá hyne sío þrág becwóm.
2884 Hú sceal sincþego     ond swyrdgifu
2885 eall éðelwyn     éowrum cynne
2886 lufen álicgean!     Londrihtes mót
2887 þaére maégburge     monna aéghwylc
2888 ídel hweorfan     syððan æðelingas
2889 feorran gefricgean     fléam éowerne
2890 dómléasan daéd:     déað bið sélla
2891 eorla gehwylcum     þonne edwítlíf.'
2892 Heht ðá þæt heaðoweorc     tó hagan bíodan
2893 úp ofer ecgclif     þaér þæt eorlweorod
2894 morgenlongne dæg     módgiómor sæt
2895 bordhæbbende     béga on wénum:
2896 endedógores     ond eftcymes
2897 léofes monnes.     Lýt swígode
2898 níwra spella     sé ðe næs gerád
2899 ac hé sóðlíce     sægde ofer ealle:
2900 'Nú is wilgeofa     Wedra léoda
2901 dryhten Géata     déaðbedde fæst
2902 wunað wælreste     wyrmes daédum·
2903 him on_efn ligeð     ealdorgewinna
2904 siexbennum séoc:     sweorde ne meahte
2905 on ðám áglaécean     aénige þinga
2906 wunde gewyrcean·     Wígláf siteð
2907 ofer Bíowulfe     byre Wíhstánes
2908 eorl ofer óðrum     unlifigendum·
2909 healdeð higemaéðum     héafodwearde
2910 léofes ond láðes.     Nú ys léodum wén
2911 orleghwíle     syððan undyrne
2912 Froncum ond Frýsum     fyll cyninges
2913 wíde weorðeð·     wæs sío wróht scepen
2914 heard wið Húgas     syððan Higelác cwóm
2915 faran flotherge     on Frésna land
2916 þaér hyne Hetware     hilde gehnaégdon·
2917 elne geéodon     mid ofermægene
2918 þæt se byrnwiga     búgan sceolde·
2919 féoll on féðan·     nalles frætwe geaf
2920 ealdor dugoðe·     ús wæs á syððan
2921 Merewíoingas     milts ungyfeðe.
2922 Né ic te Swéoðéode     sibbe oððe tréowe
2923 wihte ne wéne     ac wæs wíde cúð
2924 þætte Ongenðío     ealdre besnyðede
2925 Hæðcen Hréþling     wið Hrefnawudu
2926 þá for onmédlan     aérest gesóhton
2927 Géata léode     Gúð-Scilfingas
2928 sóna him se fróda     fæder Óhtheres
2929 eald ond egesfull     hondslyht ágeaf·
2930 ábréot brimwísan·     brýda herode·
2931 gomela ióméowlan     golde berofene
2932 Onelan módor     ond Óhtheres
2933 ond ðá folgode     feorhgeníðlan
2934 oð_ðæt hí oðéodon     earfoðlíce
2935 in Hrefnesholt     hláfordléase·
2936 besæt ðá sinherge     sweorda láfe
2937 wundum wérge·     wéan oft gehét
2938 earmre teohhe     ondlonge niht·
2939 cwæð: hé on mergenne     méces ecgum
2940 gétan wolde,     sum on galgtréowum
2941 fuglum tó gamene·     frófor eft gelamp
2942 sárigmódum     somod aérdæge
2943 syððan híe Hygeláces     horn ond býman
2944 gealdor ongéaton     þá se góda cóm,
2945 léoda dugoðe     on lást faran.
2946 Wæs sío swátswaðu     Swóna ond Géata
2947 wælraés weora     wíde gesýne·
2948 hú ðá folc mid him     faéhðe tówehton·
2949 gewát him ðá se góda     mid his gædelingum
2950 fród felageómor     fæsten sécean·
2951 eorl Ongenþío     ufor oncirde·
2952 hæfde Higeláces     hilde gefrúnen
2953 wlonces wígcræft·     wiðres ne trúwode·
2954 þæt hé saémannum     onsacan mihte,
2955 heaðolíðendum     hord forstandan
2956 bearn ond brýde·     béah eft þonan
2957 eald under eorðweall·     þá wæs aéht boden
2958 Swéona léodum·     segn Higeláces
2959 freoðowong þone     forð oferéodon
2960 syððan Hréðlingas     tó hagan þrungon.
2961 Þaér wearð Ongenðíow     ecgum sweordan
2962 blondenfexa     on bid wrecen
2963 þæt se þéodcyning     ðafian sceolde
2964 Eafores ánne dóm·     hyne yrringa
2965 Wulf Wonréðing     waépne geraéhte
2966 þæt him for swenge     swát aédrum sprong
2967 forð under fexe·     næs hé forht swá ðéh
2968 gomela Scilfing     ac forgeald hraðe
2969 wyrsan wrixle     wælhlem þone
2970 syððan ðéodcyning     þyder oncirde·
2971 ne meahte se snella     sunu Wonrédes
2972 ealdum ceorle     hondslyht giofan
2973 ac hé him on héafde     helm aér gescer
2974 þæt he blode fah     bugan sceolde·
2975 féoll on foldan·     næs hé faége þá gít
2976 ac hé hyne gewyrpte     þéah ðe him wund hrine·
2977 lét se hearda     Higeláces þegn
2978 bráde méce     þá his bróðor læg
2979 ealdsweord eotonisc     entiscne helm
2980 brecan ofer bordweal·     ðá gebéah cyning
2981 folces hyrde·     wæs in feorh dropen.
2982 Ðá waéron monige     þé his maég wriðon·
2983 ricone áraérdon     ðá him gerýmed wearð
2984 þæt híe wælstówe     wealdan móston·
2985 þenden réafode     rinc óðerne·
2986 nam on Ongenðío     írenbyrnan
2987 heard swyrd hilted     ond his helm somod·
2988 háres hyrste     Higeláce bær·
2989 hé ðám frætwum féng     ond him fægre gehét
2990 léana mid léodum     ond gelaéste swá·
2991 geald þone gúðraés     Géata dryhten
2992 Hréðles eafora     þá hé tó hám becóm
2993 Iofore ond Wulfe     mid ofermáðmum·
2994 sealde hiora gehwæðrum     hund þúsenda
2995 landes ond locenra béaga     —ne ðorfte him ðá léan oðwítan
2996 mon on middangearde     syððan híe ðá @ maérða geslógon—
2997 ond ðá Iofore forgeaf     ángan dohtor
2998 hámweorðunge     hyldo tó wedde.
2999 Þæt ys sío faéhðo     ond se féondscipe
3000 wælníð wera     ðæs ðe ic wéan hafo
3001 þé ús séceað tó     Swéona léoda
3002 syððan híe gefricgeað     fréan úserne
3003 ealdorléasne     þone ðe aér gehéold
3004 wið hettendum     hord ond ríce
3005 æfter hæleða hryre,     hwate Scildingas·
3006 folcréd fremede     oððe furður gén
3007 eorlscipe efnde.     Mé is ofost betost
3008 þæt wé þéodcyning     þaér scéawian
3009 ond þone gebringan     þé ús béagas geaf
3010 on ádfære·     ne scel ánes hwæt
3011 meltan mid þám módigan     ac þaér is máðma hord
3012 gold unríme     grimme gecéapod
3013 ond nú æt síðestan     sylfes féore
3014 béagas gebohte:     þá sceall brond fretan,
3015 aéled þeccean,     nalles eorl wegan
3016 máððum tó gemyndum     né mægð scýne
3017 habban on healse     hringweorðunge
3018 ac sceal geómormód     golde beréafod
3019 oft nalles aéne     elland tredan
3020 nú se herewísa     hleahtor álegde
3021 gamen ond gléodréam.     Forðon sceall gár wesan
3022 monig morgenceald     mundum bewunden,
3023 hæfen on handa,     nalles hearpan swég
3024 wígend weccean     ac se wonna hrefn
3025 fús ofer faégum     fela reordian,
3026 earne secgan     hú him æt aéte spéow
3027 þenden hé wið wulf     wæl réafode.'
3028 Swá se secg hwata     secggende wæs
3029 láðra spella·     hé ne léag fela
3030 wyrda né worda.     Weorod eall árás·
3031 éodon unblíðe     under earna_næs
3032 wollentéare     wundur scéawian·
3033 fundon ðá on sande     sáwulléasne
3034 hlimbed healdan     þone þe him hringas geaf
3035 aérran maélum·     þá wæs endedæg
3036 gódum gegongen     þæt se gúðcyning
3037 Wedra þéoden     wundordéaðe swealt.
3038 AÉr hí þaér geségan     syllícran wiht
3039 wyrm on wonge     wiðerræhtes þaér
3040 láðne licgean:     wæs se légdraca
3041 grimlíc gryregiest     glédum beswaéled·
3042 sé wæs fíftiges     fótgemearces
3043 lang on legere·     lyftwynne héold
3044 nihtes hwílum·     nyðer eft gewát
3045 dennes níosian·     wæs ðá déaðe fæst·
3046 hæfde eorðscrafa     ende genyttod.
3047 Him big stódan     bunan ond orcas·
3048 discas lágon     ond dýre swyrd
3049 ómige þurhetone     swá híe wið eorðan fæðm
3050 þúsend wintra     þaér eardodon·
3051 þonne wæs þæt yrfe     éacencræftig,
3052 iúmonna gold     galdre bewunden
3053 þæt ðám hringsele     hrínan ne móste
3054 gumena aénig     nefne god sylfa
3055 sigora sóðcyning     sealde þám ðe hé wolde
3056 —hé is manna gehyld—     hord openian·
3057 efne swá hwylcum manna     swá him gemet ðúhte.
3058 Þá wæs gesýne     þæt se síð ne ðáh
3059 þám ðe unrihte     inne gehýdde
3060 wræce under wealle·     weard aér ofslóh
3061 féara sumne·     þá sío faéhð gewearð
3062 gewrecen wráðlíce.     Wundur hwár þonne
3063 eorl ellenróf     ende gefére
3064 lífgesceafta     þonne leng ne mæg
3065 mon mid his maégum     meduseld búan·
3066 swá wæs Bíowulfe,     þá hé biorges weard
3067 sóhte searoníðas:     seolfa ne cúðe
3068 þurh hwæt his worulde gedál     weorðan sceolde.
3069 Swá hit oð dómes dæg     díope benemdon
3070 þéodnas maére     þá ðæt þaér dydon·
3071 þæt se secg waére     synnum scildig
3072 hergum geheaðerod     hellbendum fæst
3073 wommum gewítnad     sé ðone wong strude·
3074 næs hé goldhwæte     gearwor hæfde
3075 ágendes ést     aér gescéawod.
3076 Wígláf maðelode     Wíhstánes sunu:
3077 'Oft sceall eorl monig     ánes willan
3078 wraéc ádréogan     swá ús geworden is·
3079 ne meahton wé gelaéran     léofne þéoden
3080 ríces hyrde     raéd aénigne·
3081 þæt hé ne grétte     goldweard þone·
3082 léte hyne licgean     þaér hé longe wæs,
3083 wícum wunian     oð woruldende·
3084 heoldon héahgesceap·     hord ys gescéawod,
3085 grimme gegongen·     @ þæt gifeðe wæs
3086 tó swíð þé ðone @     þyder ontyhte.
3087 Ic wæs þaér_inne     ond þæt eall geondseh
3088 recedes geatwa     þá mé gerýmed wæs,
3089 nealles swaéslíce     síð álýfed
3090 inn under eorðweall·     ic on ofoste geféng
3091 micle mid mundum     mægenbyrðenne
3092 hordgestréona·     hider út ætbær
3093 cyninge mínum·     cwico wæs þá géna
3094 wís ond gewittig·     worn eall gespræc
3095 gomol on gehðo     ond éowic grétan hét·
